title,price,rating,reviews,availability
Sony Playstation PS4 1TB Black Console,,4.7 out of 5 stars,"1,268 ratings",Not Available
Qyszy88 2 Pack Wireless Controller Compatible with Playstation 4/Slim/Pro/PS4，with Double Shock/Stereo Headset Jack/Touch Pad/Six-axis Motion Control,,4.3 out of 5 stars,"1,045 ratings",Not Available
Little Big Planet 3 Hits - PlayStation 4,,4.6 out of 5 stars,986 ratings,Not Available
Fortnite - Transformers Pack - PlayStation 4,,3.6 out of 5 stars,7 ratings,Not Available
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,4.7 out of 5 stars,19 ratings,Not Available
PlayStation 4 Slim 500GB Console [Discontinued],,4.5 out of 5 stars,"1,875 ratings",Not Available
PlayStation 4 Slim 1TB Console - Black (Renewed),,4.2 out of 5 stars,"1,443 ratings",Not Available
PlayStation 4 Slim 1TB Console,,4.5 out of 5 stars,"15,606 ratings",Not Available
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.6 out of 5 stars,329 ratings,Not Available
PlayStation 4 Console - 1TB Slim Edition (Renewed),,4.6 out of 5 stars,48 ratings,Not Available
RPlay Play-Station 4 PS4 1TB Slim Edition Jet Black With 1 Wireless Controller,,4.4 out of 5 stars,16 ratings,Not Available
"PS4 Stand Cooling Fan Station for Playstation 4/PS4 Slim/PS4 Pro, PS4 Vertical Stand with Dual Controller Port Charger Dock Station, 12 Game Slots, USB Fast Charging Station with LED Indicator",,4.3 out of 5 stars,203 ratings,Not Available
Sony Playstation 4 Slim(CUH-2215B) 1TB Core with Starter Pack Bundle-(Jet Black),,3.5 out of 5 stars,29 ratings,Only 2 left in stock - order soon.
Sony PlayStation 4 Slim Limited Edition 1TB Gaming Console (Renewed),,4.3 out of 5 stars,"1,302 ratings",Not Available
PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,546 ratings",In Stock
"Uplay Newest Play-Station 4 Console PS.4 with One Wireless Controller, White (Playstation)",,4.8 out of 5 stars,8 ratings,Not Available
Hard Disk Drive for PS4 1100 HDD Bracket Holder with Screws Replacement for Playstation 4 CUH-1100,,5.0 out of 5 stars,1 rating,Not Available
Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),,4.5 out of 5 stars,"4,219 ratings",Only 1 left in stock - order soon.
PlayStation 4 500GB Console (Renewed),,4.1 out of 5 stars,871 ratings,Not Available
Sony Playstation 3 160GB System (Renewed),,4.4 out of 5 stars,441 ratings,Not Available
"Sony Playstation 3 160GB CECH-3001A, Console Only (Renewed)",,4.3 out of 5 stars,359 ratings,Not Available
PlayStation 2 Console (Slim Line Version 1) (Renewed),,4.0 out of 5 stars,286 ratings,Not Available
"NUBWO G06 Dual Wireless Gaming Headset with Microphone for PS5, PS4, PC, Mobile, Switch: 2.4GHz Wireless + Bluetooth - 100 Hr Battery - 50mm Drivers - Orange",,4.3 out of 5 stars,"8,769 ratings",Not Available
F1 Manager 2023 - PlayStation 4,,5.0 out of 5 stars,2 ratings,In Stock
WWE 2K15 - PlayStation 4,,4.3 out of 5 stars,819 ratings,Not Available
